id;categorie;marked_idx;marked;detection;action
film-forrest-gump-actor;cinema;1;Big;reponse-trop-courte position-1ou3;A_RECONFIRMER
film-amelie-arrondissement;cinema;3;Saint-Germain-des-Prés;reponse-trop-longue position-1ou3;A_RECONFIRMER
film-bienvenue-chtis-record;cinema;3;Astérix et Obélix : Mission Cléopâtre;reponse-trop-longue position-1ou3;A_RECONFIRMER
cg-sci-azote;culture-generale;3;Le dioxyde de carbone;reponse-trop-longue position-1ou3;A_RECONFIRMER
cg-sport-foot;culture-generale;1;Le hockey sur gazon;reponse-trop-longue position-1ou3;A_RECONFIRMER
cg-rec-groenland;culture-generale;3;Bornéo;reponse-trop-courte position-1ou3;A_RECONFIRMER
food-macaron;food;1;Le chou à la crème;reponse-trop-longue position-1ou3;A_RECONFIRMER
foot-ronaldo-record;football;1;Neymar;reponse-trop-courte position-1ou3;A_RECONFIRMER
game-sonic-speed;gaming;3;Son vol;reponse-trop-courte position-1ou3;A_RECONFIRMER
war-cs-sud;histoire;1;Les États de Nouvelle-Angleterre;reponse-trop-longue position-1ou3;A_RECONFIRMER
war-ww2-mussolini;histoire;1;António de Oliveira Salazar;reponse-trop-longue position-1ou3;A_RECONFIRMER
war-nap-code-civil;histoire;3;La Charte constitutionnelle;reponse-trop-longue position-1ou3;A_RECONFIRMER
war-rev-ddhc;histoire;1;Le Code civil;reponse-trop-courte position-1ou3;A_RECONFIRMER
music-candle-in-the-wind;musique;1;Sting;reponse-trop-courte position-1ou3;A_RECONFIRMER
egyptian-osiris-god-of-vegetation;mythologie-egyptienne;1;À la végétation et à la renaissance des récoltes;reponse-trop-longue position-1ou3;A_RECONFIRMER
egyptian-seth-unknown-animal;mythologie-egyptienne;3;Un animal imaginaire non identifié;reponse-trop-longue position-1ou3;A_RECONFIRMER
egyptian-ptah-patron-of-artisans;mythologie-egyptienne;3;Les artisans et les forgerons;reponse-trop-longue position-1ou3;A_RECONFIRMER
egyptian-ba-the-bird-soul;mythologie-egyptienne;1;Un oiseau à tête humaine;reponse-trop-longue position-1ou3;A_RECONFIRMER
egyptian-mummification-seventy-days;mythologie-egyptienne;3;Soixante-dix jours;reponse-trop-longue position-1ou3;A_RECONFIRMER
egyptian-heart-scarab;mythologie-egyptienne;3;Le scarabée du cœur;reponse-trop-longue position-1ou3;A_RECONFIRMER
greek-cerberus-snake-tail;mythologie-grecque;1;Elle se termine par une tête de serpent;reponse-trop-longue position-1ou3;A_RECONFIRMER
greek-sirens-enchanting-song;mythologie-grecque;3;Leur chant ensorcelle et fait échouer les navires;reponse-trop-longue position-1ou3;A_RECONFIRMER
greek-tantalus-eternal-hunger;mythologie-grecque;1;Une faim et une soif éternelles au milieu de fruits et d'eau qui se dérobent;reponse-trop-longue position-1ou3;A_RECONFIRMER
greek-heracles-known-for-strength;mythologie-grecque;3;Sa force prodigieuse;reponse-trop-longue position-1ou3;A_RECONFIRMER
greek-heracles-death-nessus-tunic;mythologie-grecque;3;En revêtant une tunique empoisonnée offerte par sa femme;reponse-trop-longue position-1ou3;A_RECONFIRMER
greek-aegeus-throws-himself-into-sea;mythologie-grecque;1;Parce qu'Égée, croyant son fils mort, s'y est jeté;reponse-trop-longue position-1ou3;A_RECONFIRMER
greek-icarus-wax-wings;mythologie-grecque;3;Il s'approche trop du Soleil et ses ailes de cire fondent;reponse-trop-longue position-1ou3;A_RECONFIRMER
greek-mount-olympus-location;mythologie-grecque;3;En Grèce, à la frontière entre la Thessalie et la Macédoine;reponse-trop-longue position-1ou3;A_RECONFIRMER
greek-rhea-saves-zeus;mythologie-grecque;1;En donnant à Cronos une pierre emmaillotée à la place du bébé;reponse-trop-longue position-1ou3;A_RECONFIRMER
greek-atlas-heracles-hesperides;mythologie-grecque;3;Il lui propose de porter lui-même les pommes pendant qu'Héraclès tient le ciel;reponse-trop-longue position-1ou3;A_RECONFIRMER
greek-heracles-strangles-nemean-lion;mythologie-grecque;3;En l'étranglant à mains nues;reponse-trop-longue position-1ou3;A_RECONFIRMER
greek-achilles-drags-hector-body;mythologie-grecque;1;Il le traîne derrière son char autour de Troie;reponse-trop-longue position-1ou3;A_RECONFIRMER
greek-telemachus-son-of-odysseus;mythologie-grecque;3;Le fils d'Ulysse et de Pénélope;reponse-trop-longue position-1ou3;A_RECONFIRMER
greek-troy-location-asia-minor;mythologie-grecque;1;En Asie Mineure, sur la côte de l'actuelle Turquie;reponse-trop-longue position-1ou3;A_RECONFIRMER
phil-socrates-maiutics-method;philosophie;1;À l'art de la sage-femme qui accouche les esprits;reponse-trop-longue position-1ou3;A_RECONFIRMER
phil-aristotle-tutor-of-alexander;philosophie;3;Alexandre le Grand;reponse-trop-longue position-1ou3;A_RECONFIRMER
phil-sartre-refused-nobel-prize;philosophie;3;Le prix Nobel de littérature;reponse-trop-longue position-1ou3;A_RECONFIRMER
phil-wittgenstein-tractatus-final-proposition;philosophie;3;« Ce dont on ne peut parler, il faut le taire »;reponse-trop-longue position-1ou3;A_RECONFIRMER
